code,name,credit,description
CHE 101,Introductory Chemistry,4,"Spring Introduces major and foundational aspects of chemistry as it applies to life and the universe. Includes lab.  
Corequisite:"
CHE 111,General Chemistry I,4,"Fall, Spring Survey of the fundamental principles of chemistry. Stoichiometry, atomic and molecular structure bonding, kinetic 
molecular theory, and elementary thermodynamics are discussed. Includes lab.  
Prerequisite: ""C"" or better in"
CHE 173,Forensic Science,4,"Limited Meets the needs of criminal justice majors as well as exposing non-science majors with opportunities to see the 
relevance of chemistry, biology, geology, and physics to their chosen professional life. Topics include crime scenes, 
physical evidence, gunshot residue, fingerprints, toxicology, and serology. Provides an overview of techniques used by 
modern criminalistics labs. Includes hands-on opportunity to explore the intricacies of how criminal investigation 
relies on forensic science and how local law enforcement agencies' reliance on scientific studies for technical field 
work. Includes a lab in which the students will perform experiments that draw upon various sciences and a lab 
segment in which crime scenes will be fabricated to practice entry, exit, and collection and interpretation of evidence.  
Corequisite: CHE 202 Organic Chemistry II. Corequisite: CHE 301L. "

CHE 411, Physical Chemistry I,4,"Odd Falls Chemical kinetics and quantum mechanics. Application of quantum theory to the interpretation and analysis of 
rotational, vibrational and electronic spectra. Rigorous application of computer technology to generate, collect and/or 
analyze data in both lecture and laboratory.
CHE 112, General Chemistry II, MAT 202 Calcuus II, and PHY 202 General Physics II or PHY 212 Modern 
University Physics II.
Corequisite: CHE 411L. "

CHE 412, Physical Chemistry II,4,"Even Springs A statistical, mechanical approach to the laws of thermodynamics using considerable computer technology to 
generate and analyze data. Includes Lab.  
Prerequisites: CHE 301 Analytical Chemistry." 

CHE 440, Research in Biology and Chemistry,3,"Fall A thorough introduction to aspects of STEM-based research. Focuses on topics in chemical, biological, and 
biochemical research. Set-up, design, control, and optimization of experimental protocols. Data acquisition and 
analysis. Statistical methods. Communication of the results through a variety of media. Cross listed"
CMI 127,Exploring Ministry,2,"Spring Explores the meaning of Christian life as ministry, as well as varied areas of special ministry in modern society."
CMI 222,Introduction to Missions,3,"Limited Explores the biblical basis and history of the expansion of Christianity throughout the world based on the perspectives 
of the World Christian Movement."
CMI 230,Women in Ministry,3,"Limited A study of the biblical, theological, historical, cultural, and practical issues concerning the vital role of women as 
professional ministers and clergy in the Christian church. Deals both with foundational concepts such as ministerial 
call and with practical matters such as the essential place and contribution of women in the professional ministry of 
the contemporary and future church. Prepares both women and men will serve as ministry colleagues."
CMI 310,Communication in Ministry,3,"Even Springs Explores creative methods of communicating biblical and spiritual truth to contemporary culture. The student will 
study current trends in ministry communication, communication to different learning modalities, and effective 
teaching techniques that will help audiences learn and respond to the Christian message. The student will develop a 
variety of abilities in the formulation, communication, and evaluation of the Christian message for contemporary 
audiences and persons. Particular attention will be given to resources for communicating to adolescents."
CMI 316,Church Planting/Growth,3,"Even Springs A study of the theology, theory and practices of church planting and church growth. Includes biblical and 
anthropological principles of both as well as strategies for multiplication and growth of local congregations."
